"subject_id","faculty","anxiety"
1,"psychology",3.6
2,"sport_science",4
3,"medicine",4.4
4,"psychology",2.8
5,"sport_science",4.6
6,"medicine",3.4
7,"psychology",4.3
8,"sport_science",3.8
9,"medicine",3.6
10,"psychology",5
11,"sport_science",4.6
12,"medicine",3.2
13,"psychology",4.1
14,"sport_science",4
15,"medicine",3.7
16,"psychology",5.4
17,"sport_science",4.3
18,"medicine",3.2
19,"psychology",3.6
20,"sport_science",4.9
21,"medicine",5.6
22,"psychology",5.3
23,"sport_science",4
24,"medicine",4
25,"psychology",3.2
26,"sport_science",4.4
27,"medicine",3.6
28,"psychology",5.9
29,"sport_science",3.9
30,"medicine",3.7
31,"psychology",5
32,"sport_science",3.6
33,"medicine",3.2
34,"psychology",4.9
35,"sport_science",4.1
36,"medicine",4
37,"psychology",3.6
38,"sport_science",4.9
39,"medicine",4.6
40,"psychology",3.4
41,"sport_science",4.6
42,"medicine",3.4
43,"psychology",3.7
44,"sport_science",3.7
45,"medicine",5.1
46,"psychology",5
47,"sport_science",5.2
48,"medicine",4.7
49,"psychology",4.5
50,"sport_science",4.4
51,"medicine",4.3
52,"psychology",4.4
53,"sport_science",4.3
54,"medicine",3.6
55,"psychology",3.9
56,"sport_science",3.8
57,"medicine",2.5
58,"psychology",2.9
59,"sport_science",4.4
60,"medicine",3.6
61,"psychology",6.2
62,"sport_science",5.2
63,"medicine",3.5
64,"psychology",3.7
65,"sport_science",4.3
66,"medicine",4.2
67,"psychology",2.5
68,"sport_science",4.9
69,"medicine",4
70,"psychology",3.3
71,"sport_science",3.9
72,"medicine",4.9
73,"psychology",3
74,"sport_science",3.8
75,"medicine",3.8
76,"psychology",3
77,"sport_science",4.8
78,"medicine",5.4
79,"psychology",2.6
80,"sport_science",4.2
81,"medicine",3.8
82,"psychology",3.2
83,"sport_science",3.9
84,"medicine",4.9
85,"psychology",3.9
86,"sport_science",3.7
87,"medicine",4
88,"psychology",4
89,"sport_science",5.6
90,"medicine",3.3
