"subject_id","side","number","RT"
1,"left","small",613
1,"right","small",677
1,"left","large",701
1,"right","large",670
2,"left","small",426
2,"right","small",378
2,"left","large",394
2,"right","large",308
3,"left","small",469
3,"right","small",476
3,"left","large",437
3,"right","large",434
4,"left","small",481
4,"right","small",553
4,"left","large",584
4,"right","large",452
5,"left","small",572
5,"right","small",615
5,"left","large",677
5,"right","large",590
6,"left","small",554
6,"right","small",662
6,"left","large",630
6,"right","large",548
7,"left","small",599
7,"right","small",596
7,"left","large",604
7,"right","large",589
8,"left","small",500
8,"right","small",548
8,"left","large",511
8,"right","large",428
9,"left","small",695
9,"right","small",753
9,"left","large",678
9,"right","large",603
10,"left","small",560
10,"right","small",615
10,"left","large",569
10,"right","large",557
11,"left","small",533
11,"right","small",614
11,"left","large",679
11,"right","large",569
12,"left","small",449
12,"right","small",504
12,"left","large",526
12,"right","large",458
13,"left","small",546
13,"right","small",618
13,"left","large",626
13,"right","large",506
14,"left","small",462
14,"right","small",579
14,"left","large",651
14,"right","large",458
15,"left","small",492
15,"right","small",574
15,"left","large",544
15,"right","large",490
16,"left","small",630
16,"right","small",713
16,"left","large",789
16,"right","large",623
17,"left","small",500
17,"right","small",498
17,"left","large",581
17,"right","large",430
18,"left","small",383
18,"right","small",450
18,"left","large",495
18,"right","large",447
19,"left","small",580
19,"right","small",658
19,"left","large",677
19,"right","large",661
20,"left","small",569
20,"right","small",616
20,"left","large",668
20,"right","large",578
